Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N10_id0_Mix1_Diam_3_p_1,10,0,3,3,0,Standard_QAOA,1,0.96428570127542,13,1209,13.499999817855882,14,Standard_QAOA,Standard_Rxx,4-Regular,20,3,1,0,100111011
N10_id0_Mix1_Diam_3_p_2,10,0,3,3,0,Standard_QAOA,2,0.9999998208941872,23,3477,13.99999749251862,14,Standard_QAOA,Standard_Rxx,4-Regular,20,3,1,0,1101000010
N10_id0_Mix1_Diam_3_p_3,10,0,3,3,0,Standard_QAOA,3,0.99999853219449,33,5915,13.99997945072286,14,Standard_QAOA,Standard_Rxx,4-Regular,20,3,1,0,101000011
N10_id0_Mix1_Diam_2_p_1,10,0,3,2,1,XX_Mixer,1,0.9642856985490666,13,1696,13.499999779686933,14,Intermediate_Sweep,Standard_Rxx,4-Regular,20,2,1,0,100111010
N10_id0_Mix1_Diam_2_p_2,10,0,3,2,1,XX_Mixer,2,0.9999998833893046,23,4221,13.999998367450264,14,Intermediate_Sweep,Standard_Rxx,4-Regular,20,2,1,0,1000001111
N10_id0_Mix1_Diam_2_p_3,10,0,3,2,1,XX_Mixer,3,0.999999181513405,33,6674,13.99998854118767,14,Intermediate_Sweep,Standard_Rxx,4-Regular,20,2,1,0,1010111000
N10_id0_Mix2_Diam_2_p_1,10,0,3,2,1,XX+YY_Mixer,1,0.9642856974992012,13,1568,13.499999764988818,14,Intermediate_Sweep,XX+YY_Driver,4-Regular,20,2,2,0,1101010010
N10_id0_Mix2_Diam_2_p_2,10,0,3,2,1,XX+YY_Mixer,2,0.9999999068665816,24,3402,13.99999869613214,14,Intermediate_Sweep,XX+YY_Driver,4-Regular,20,2,2,0,1011001100
N10_id0_Mix2_Diam_2_p_3,10,0,3,2,1,XX+YY_Mixer,3,0.9999995858615274,35,7802,13.999994202061384,14,Intermediate_Sweep,XX+YY_Driver,4-Regular,20,2,2,0,100110010
N10_id0_Mix1_Diam_1_p_1,10,0,3,1,25,XX_Mixer,1,0.964285687390968,21,4760,13.499999623473553,14,Hypo_1,Standard_Rxx,4-Regular,20,1,1,0,101000111
N10_id0_Mix1_Diam_1_p_2,10,0,3,1,25,XX_Mixer,2,0.99999876392222,41,11100,13.99998269491108,14,Hypo_1,Standard_Rxx,4-Regular,20,1,1,0,100111001
N10_id0_Mix1_Diam_1_p_3,10,0,3,1,25,XX_Mixer,3,0.9999955211165276,61,15106,13.999937295631383,14,Hypo_1,Standard_Rxx,4-Regular,20,1,1,0,110110001
N10_id0_Mix2_Diam_1_p_1,10,0,3,1,25,XX+YY_Mixer,1,0.999999819261798,30,5152,13.999997469665171,14,Hypo_1,XX+YY_Driver,4-Regular,20,1,2,0,1101000110
N10_id0_Mix2_Diam_1_p_2,10,0,3,1,25,XX+YY_Mixer,2,0.9999984448630646,59,13875,13.999978228082904,14,Hypo_1,XX+YY_Driver,4-Regular,20,1,2,0,111010010
N10_id0_Mix2_Diam_1_p_3,10,0,3,1,25,XX+YY_Mixer,3,0.999971171531925,88,15106,13.99959640144695,14,Hypo_1,XX+YY_Driver,4-Regular,20,1,2,0,10111001
N10_id1_Mix1_Diam_3_p_1,10,1,3,3,0,Standard_QAOA,1,0.8437499952251681,17,1612,13.49999992360269,14,Standard_QAOA,Standard_Rxx,4-Regular,20,3,1,0,110011010
N10_id1_Mix1_Diam_3_p_2,10,1,3,3,0,Standard_QAOA,2,0.9999997354289298,31,4880,15.999995766862876,16,Standard_QAOA,Standard_Rxx,4-Regular,20,3,1,0,1001010101
N10_id1_Mix1_Diam_3_p_3,10,1,3,3,0,Standard_QAOA,3,0.9999992496424732,45,7371,15.999987994279572,16,Standard_QAOA,Standard_Rxx,4-Regular,20,3,1,0,1110100010
N10_id1_Mix1_Diam_2_p_1,10,1,3,2,2,XX_Mixer,1,0.8437499938593817,18,2607,13.499999901750106,14,Intermediate_Sweep,Standard_Rxx,4-Regular,20,2,1,0,110101110
N10_id1_Mix1_Diam_2_p_2,10,1,3,2,2,XX_Mixer,2,0.9999994415518814,33,4810,15.999991064830102,16,Intermediate_Sweep,Standard_Rxx,4-Regular,20,2,1,0,110101010
N10_id1_Mix1_Diam_2_p_3,10,1,3,2,2,XX_Mixer,3,0.9999994019988512,48,7081,15.999990431981615,16,Intermediate_Sweep,Standard_Rxx,4-Regular,20,2,1,0,1001010101
N10_id1_Mix2_Diam_2_p_1,10,1,3,2,2,XX+YY_Mixer,1,0.8437499564059815,19,1518,13.499999302495704,14,Intermediate_Sweep,XX+YY_Driver,4-Regular,20,2,2,0,11011010
