Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N8_id2_Mix1_Diam_6_p_1,8,2,6,6,0,Standard_QAOA,1,0.857142849450972,6,800,5.999999946156803,6,Standard_QAOA,Standard_Rxx,Bipartite,7,6,1,0,10001001
N8_id2_Mix1_Diam_6_p_2,8,2,6,6,0,Standard_QAOA,2,0.9285713595579788,10,1116,6.499999516905851,7,Standard_QAOA,Standard_Rxx,Bipartite,7,6,1,0,11110000
N8_id2_Mix1_Diam_6_p_3,8,2,6,6,0,Standard_QAOA,3,0.9999985126295536,14,5566,6.999989588406875,7,Standard_QAOA,Standard_Rxx,Bipartite,7,6,1,0,1111
N8_id2_Mix1_Diam_4_p_1,8,2,6,4,1,XX_Mixer,1,0.8571428512064141,7,748,5.999999958444898,7,Intermediate_Sweep,Standard_Rxx,Bipartite,7,4,1,0,11110000
N8_id2_Mix1_Diam_4_p_2,8,2,6,4,1,XX_Mixer,2,0.928571416426054,11,1122,6.499999914982379,7,Intermediate_Sweep,Standard_Rxx,Bipartite,7,4,1,0,11110000
N8_id2_Mix1_Diam_4_p_3,8,2,6,4,1,XX_Mixer,3,0.9285711238817214,15,2450,6.499997867172049,7,Intermediate_Sweep,Standard_Rxx,Bipartite,7,4,1,0,1111
N8_id2_Mix2_Diam_4_p_1,8,2,6,4,1,XX+YY_Mixer,1,0.8571428546438975,8,799,5.9999999825072825,6,Intermediate_Sweep,XX+YY_Driver,Bipartite,7,4,2,0,1110110
N8_id2_Mix2_Diam_4_p_2,8,2,6,4,1,XX+YY_Mixer,2,0.9285713959232342,12,1485,6.499999771462639,7,Intermediate_Sweep,XX+YY_Driver,Bipartite,7,4,2,0,11110000
N8_id2_Mix2_Diam_4_p_3,8,2,6,4,1,XX+YY_Mixer,3,0.999999051019621,16,4753,6.999993357137347,7,Intermediate_Sweep,XX+YY_Driver,Bipartite,7,4,2,0,11110000
N8_id2_Mix1_Diam_3_p_1,8,2,6,3,2,XX_Mixer,1,0.8571428498162446,8,756,5.999999948713712,6,Intermediate_Sweep,Standard_Rxx,Bipartite,7,3,1,0,1110110
