Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N12_id0_Mix1_Diam_9_p_1,12,0,9,9,0,Standard_QAOA,1,0.8252136461289709,8,696,9.07735010741868,11,Standard_QAOA,Standard_Rxx,Tree,11,9,1,0,10110001011
N12_id0_Mix1_Diam_9_p_2,12,0,9,9,0,Standard_QAOA,2,0.9545454170224392,12,5264,10.499999587246831,11,Standard_QAOA,Standard_Rxx,Tree,11,9,1,0,101001110100
N12_id0_Mix1_Diam_9_p_3,12,0,9,9,0,Standard_QAOA,3,0.9545449919100534,16,5670,10.499994911010589,11,Standard_QAOA,Standard_Rxx,Tree,11,9,1,0,10110001011
N12_id0_Mix1_Diam_7_p_1,12,0,9,7,1,XX_Mixer,1,0.8252136430020381,8,1325,9.07735007302242,10,Intermediate_Sweep,Standard_Rxx,Tree,11,7,1,0,111001010101
N12_id0_Mix1_Diam_7_p_2,12,0,9,7,1,XX_Mixer,2,0.954545370069447,12,4606,10.499999070763916,10,Intermediate_Sweep,Standard_Rxx,Tree,11,7,1,0,10111010
N12_id0_Mix1_Diam_7_p_3,12,0,9,7,1,XX_Mixer,3,0.9545451972582228,16,10001,10.499997169840452,11,Intermediate_Sweep,Standard_Rxx,Tree,11,7,1,0,10110001011
N12_id0_Mix2_Diam_7_p_1,12,0,9,7,1,XX+YY_Mixer,1,0.8252136216738525,8,1075,9.077349838412378,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,7,2,0,10111010
N12_id0_Mix2_Diam_7_p_2,12,0,9,7,1,XX+YY_Mixer,2,0.9545449654881676,12,2744,10.499994620369844,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,7,2,0,10111010
N12_id0_Mix2_Diam_7_p_3,12,0,9,7,1,XX+YY_Mixer,3,0.9545453225154646,16,6716,10.499998547670112,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,7,2,0,101001110100
N12_id0_Mix1_Diam_5_p_1,12,0,9,5,2,XX_Mixer,1,0.8252136455043978,8,1144,9.077350100548376,11,Intermediate_Sweep,Standard_Rxx,Tree,11,5,1,0,101001110100
N12_id0_Mix1_Diam_5_p_2,12,0,9,5,2,XX_Mixer,2,0.9545452489416028,12,2652,10.49999773835763,10,Intermediate_Sweep,Standard_Rxx,Tree,11,5,1,0,10111010
N12_id0_Mix1_Diam_5_p_3,12,0,9,5,2,XX_Mixer,3,0.9545451524690414,16,7144,10.499996677159457,11,Intermediate_Sweep,Standard_Rxx,Tree,11,5,1,0,10110001011
N12_id0_Mix2_Diam_5_p_1,12,0,9,5,2,XX+YY_Mixer,1,0.8252136498553146,8,1014,9.077350148408462,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,5,2,0,111101000101
N12_id0_Mix2_Diam_5_p_2,12,0,9,5,2,XX+YY_Mixer,2,0.9545452737265652,13,4590,10.499998010992217,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,5,2,0,10111010
N12_id0_Mix2_Diam_5_p_3,12,0,9,5,2,XX+YY_Mixer,3,0.9545449348428484,18,6308,10.49999428327133,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,5,2,0,10110001011
N12_id0_Mix1_Diam_4_p_1,12,0,9,4,4,XX_Mixer,1,0.8252136355529331,9,1680,9.077349991082263,11,Intermediate_Sweep,Standard_Rxx,Tree,11,4,1,0,101001110100
N12_id0_Mix1_Diam_4_p_2,12,0,9,4,4,XX_Mixer,2,0.9545450217290344,17,4235,10.49999523901938,11,Intermediate_Sweep,Standard_Rxx,Tree,11,4,1,0,101001110100
N12_id0_Mix1_Diam_4_p_3,12,0,9,4,4,XX_Mixer,3,0.9545441203878124,25,5494,10.499985324265936,11,Intermediate_Sweep,Standard_Rxx,Tree,11,4,1,0,10110001011
N12_id0_Mix2_Diam_4_p_1,12,0,9,4,4,XX+YY_Mixer,1,0.8252136328952172,10,1176,9.07734996184739,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,4,2,0,110101010
N12_id0_Mix2_Diam_4_p_2,12,0,9,4,4,XX+YY_Mixer,2,0.9545454194464166,19,5445,10.499999613910582,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,4,2,0,10111010
N12_id0_Mix2_Diam_4_p_3,12,0,9,4,4,XX+YY_Mixer,3,0.9999983591722528,28,11972,10.999981950894782,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,4,2,0,10110001011
N12_id0_Mix1_Diam_3_p_1,12,0,9,3,7,XX_Mixer,1,0.8252136333099774,9,1023,9.077349966409752,10,Intermediate_Sweep,Standard_Rxx,Tree,11,3,1,0,111001010101
N12_id0_Mix1_Diam_3_p_2,12,0,9,3,7,XX_Mixer,2,0.954545406329328,17,3416,10.499999469622608,10,Intermediate_Sweep,Standard_Rxx,Tree,11,3,1,0,111101000101
N12_id0_Mix1_Diam_3_p_3,12,0,9,3,7,XX_Mixer,3,0.95454456705616,25,8827,10.49999023761776,11,Intermediate_Sweep,Standard_Rxx,Tree,11,3,1,0,101001110100
N12_id0_Mix2_Diam_3_p_1,12,0,9,3,7,XX+YY_Mixer,1,0.8252135676377663,10,1395,9.07734924401543,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,3,2,0,111101000101
N12_id0_Mix2_Diam_3_p_2,12,0,9,3,7,XX+YY_Mixer,2,0.9545451336156172,19,9272,10.49999646977179,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,3,2,0,101001110100
N12_id0_Mix2_Diam_3_p_3,12,0,9,3,7,XX+YY_Mixer,3,0.999999114623908,28,14833,10.999990260862988,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,3,2,0,10110001011
N12_id0_Mix1_Diam_2_p_1,12,0,9,2,15,XX_Mixer,1,0.8252136333948961,13,1638,9.077349967343856,10,Intermediate_Sweep,Standard_Rxx,Tree,11,2,1,0,111001010101
N12_id0_Mix1_Diam_2_p_2,12,0,9,2,15,XX_Mixer,2,0.95454528851172,23,8316,10.49999817362892,11,Intermediate_Sweep,Standard_Rxx,Tree,11,2,1,0,101001110100
N12_id0_Mix1_Diam_2_p_3,12,0,9,2,15,XX_Mixer,3,0.9545445660483314,33,7130,10.499990226531644,11,Intermediate_Sweep,Standard_Rxx,Tree,11,2,1,0,10110001011
N12_id0_Mix2_Diam_2_p_1,12,0,9,2,15,XX+YY_Mixer,1,0.8252136026689495,18,1911,9.077349629358444,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,2,2,0,111101000101
N12_id0_Mix2_Diam_2_p_2,12,0,9,2,15,XX+YY_Mixer,2,0.9545452305952996,33,7546,10.499997536548296,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,2,2,0,10110001011
N12_id0_Mix2_Diam_2_p_3,12,0,9,2,15,XX+YY_Mixer,3,0.9999914651646352,48,15065,10.999906116810989,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,2,2,0,10110001011
N12_id0_Mix1_Diam_1_p_1,12,0,9,1,55,XX_Mixer,1,0.9545453760032182,27,7347,10.4999991360354,10,Hypo_1,Standard_Rxx,Tree,11,1,1,0,10111010
N12_id0_Mix1_Diam_1_p_2,12,0,9,1,55,XX_Mixer,2,0.9545452897889938,51,13345,10.499998187678932,10,Hypo_1,Standard_Rxx,Tree,11,1,1,0,11111010
N12_id0_Mix1_Diam_1_p_3,12,0,9,1,55,XX_Mixer,3,0.954351325670493,75,15040,10.497864582375422,11,Hypo_1,Standard_Rxx,Tree,11,1,1,0,10110001011
