Graph_Type,Base_Diameter,Achieved_Reduced_Diameter,QAOA_Layers_p,Formal_Strategy,Mean_AR,Max_AR,Min_AR,Std_AR,Unique_N_Tested,Total_Graphs_Tested,Baseline_Mean_AR,Absolute_AR_Lift,Improvement_Percentage
4-Regular,3,3,1,Standard_QAOA,0.857133337079438,0.96428570127542,0.7948895482358819,0.04201889006502721,7,32,0.857133337079438,0.0,0.0
4-Regular,3,2,1,XX_Mixer,0.8558020374988219,0.9642856985490666,0.7916665887398232,0.04298648614814356,7,32,0.857133337079438,-0.0013312995806160632,-0.15532000950427158
4-Regular,3,2,1,XX+YY_Mixer,0.8760271424295681,0.9642856974992012,0.8022506649175664,0.03959041909525615,7,32,0.857133337079438,0.01889380535013019,2.204301773456647
4-Regular,3,1,1,XX_Mixer,0.8739871630849375,0.964285687390968,0.7916666261062683,0.046083370807481316,7,32,0.857133337079438,0.01685382600549956,1.9663015398428696
4-Regular,3,1,1,XX+YY_Mixer,0.9973863822496838,0.999999955347218,0.95833306200398,0.008806193862516212,7,32,0.857133337079438,0.14025304517024584,16.363037009870425
4-Regular,3,3,2,Standard_QAOA,0.9825138420463962,0.999999963408946,0.9444443578568202,0.022066218133181194,7,32,0.9825138420463962,0.0,0.0
4-Regular,3,2,2,XX_Mixer,0.981310312785841,0.9999999444693228,0.9444442686908964,0.023198883883596418,7,32,0.9825138420463962,-0.001203529260555225,-0.12249489106926922
4-Regular,3,2,2,XX+YY_Mixer,0.9885728086695665,0.9999999068665816,0.9444442755524972,0.020711705960988744,7,32,0.9825138420463962,0.006058966623170292,0.6166800266702172
4-Regular,3,1,2,XX_Mixer,0.985121245444838,0.999999926954894,0.9361326495362744,0.023269095759914732,7,32,0.9825138420463962,0.0026074033984417877,0.2653808309724211
4-Regular,3,1,2,XX+YY_Mixer,0.9998650829290583,0.9999994935944136,0.9990043252305542,0.00027553915307582436,7,32,0.9825138420463962,0.017351240882662045,1.7660047258492146
4-Regular,3,3,3,Standard_QAOA,0.9983780692898963,0.9999995755816936,0.9583318367046498,0.00752638058004145,7,32,0.9983780692898963,0.0,0.0
4-Regular,3,2,3,XX_Mixer,0.9972748180056763,0.9999998347568728,0.9545447647555036,0.010723425775417742,7,32,0.9983780692898963,-0.0011032512842199527,-0.11050435883519039
4-Regular,3,2,3,XX+YY_Mixer,0.9986773268690057,0.9999995858615274,0.9583298484488976,0.007363207872043016,7,32,0.9983780692898963,0.0002992575791094243,0.029974374269085603
4-Regular,3,1,3,XX_Mixer,0.9916668369544934,0.9999998776448942,0.9224563392128028,0.019062068863116594,7,32,0.9983780692898963,-0.006711232335402828,-0.6722135172877186
4-Regular,3,1,3,XX+YY_Mixer,0.9951450930147839,0.9999944940788522,0.9554574740577062,0.00950674482368395,7,32,0.9983780692898963,-0.0032329762751123203,-0.32382284572935366
4-Regular,4,4,1,Standard_QAOA,0.8612480583379394,0.9374999992212296,0.8124999969312809,0.05579396609363166,3,13,0.8612480583379394,0.0,0.0
4-Regular,4,3,1,XX_Mixer,0.8652783963516762,0.9374999957155712,0.8124999919516969,0.059970758858635814,3,13,0.8612480583379394,0.004030338013736867,0.46796483019244495
4-Regular,4,3,1,XX+YY_Mixer,0.8650342273197632,0.9374999949787852,0.8124999855449899,0.06011914608454128,3,13,0.8612480583379394,0.003786168981823823,0.4396142255612719
4-Regular,4,2,1,XX_Mixer,0.8650342026018417,0.93749999489768,0.8124999852786107,0.06013060670967852,3,13,0.8612480583379394,0.0037861442639023357,0.4396113555494038
4-Regular,4,2,1,XX+YY_Mixer,0.8715088474137599,0.999999896942512,0.8124999624229805,0.06745007107198575,3,13,0.8612480583379394,0.010260789075820509,1.191386032918561
4-Regular,4,1,1,XX_Mixer,0.9172794517234373,0.9999999949624684,0.8328730370901447,0.0691086497784728,3,13,0.8612480583379394,0.056031393385497896,6.5058368309855865
4-Regular,4,1,1,XX+YY_Mixer,0.997036330024826,0.9999999843679492,0.9614750170953336,0.010684844769685719,3,13,0.8612480583379394,0.13578827168688656,15.766453157402127
4-Regular,4,4,2,Standard_QAOA,0.9415679428530558,0.9999999563147716,0.8749997753571553,0.0577538944871594,3,13,0.9415679428530558,0.0,0.0
4-Regular,4,3,2,XX_Mixer,0.9371300695898518,0.9999999664494468,0.8749998917046133,0.0572384870922752,3,13,0.9415679428530558,-0.004437873263203995,-0.4713279903898113
4-Regular,4,3,2,XX+YY_Mixer,0.9770708701995783,0.9999999915764544,0.8749999890649249,0.04032711651434295,3,13,0.9415679428530558,0.035502927346522495,3.770617682558804
4-Regular,4,2,2,XX_Mixer,0.938609287204266,0.9999999630401534,0.8749999069110236,0.05763061356245867,3,13,0.9415679428530558,-0.002958655648789832,-0.3142264635544808
4-Regular,4,2,2,XX+YY_Mixer,0.9914880183922115,0.9999999853255352,0.96153621797431,0.016213557918498156,3,13,0.9415679428530558,0.04992007553915567,5.301802797989519
4-Regular,4,1,2,XX_Mixer,0.9855701902179705,0.999999951965569,0.9225840751368072,0.02794165206553728,3,13,0.9415679428530558,0.04400224736491476,4.673294975568417
4-Regular,4,1,2,XX+YY_Mixer,0.9988491157009576,0.999999764596602,0.9914609932665072,0.002614218838836662,3,13,0.9415679428530558,0.057281172847901796,6.083594209285998
4-Regular,4,4,3,Standard_QAOA,0.946005337671254,0.9999998748824952,0.8749989440126913,0.05998870612297966,3,13,0.946005337671254,0.0,0.0
4-Regular,4,3,3,XX_Mixer,0.9430465686601627,0.9999996131545432,0.8749996918559941,0.05801976635512574,3,13,0.946005337671254,-0.002958769011091378,-0.31276451551265755
4-Regular,4,3,3,XX+YY_Mixer,0.9940806636704173,0.9999999630532344,0.9615369954306542,0.014443216083065456,3,13,0.946005337671254,0.0480753259991632,5.081929676793202
4-Regular,4,2,3,XX_Mixer,0.9460041288743533,0.9999998588592198,0.8749986441159567,0.05998825669534288,3,13,0.946005337671254,-1.2087969007978927e-06,-0.00012777907826329424
4-Regular,4,2,3,XX+YY_Mixer,0.9904350643896291,0.9999999677919652,0.9525957861902956,0.018297052419981173,3,13,0.946005337671254,0.044429726718375084,4.696561948344401
4-Regular,4,1,3,XX_Mixer,0.9849401314025207,0.9999998268156726,0.9053943974429272,0.030456596960836333,3,13,0.946005337671254,0.038934793731266626,4.115705501948958
4-Regular,4,1,3,XX+YY_Mixer,0.9894227103633706,0.9999987089797996,0.9484582688413852,0.020287740324105047,3,13,0.946005337671254,0.04341737269211654,4.589548384472699
Bipartite,4,4,1,Standard_QAOA,0.7378157805709176,0.772727263560947,0.6976569143859225,0.023782498782335435,9,14,0.7378157805709176,0.0,0.0
Bipartite,4,3,1,XX_Mixer,0.7393717042701379,0.772727271061984,0.6976569108746932,0.022557963410588903,9,14,0.7378157805709176,0.0015559236992203074,0.21088240997181473
Bipartite,4,3,1,XX+YY_Mixer,0.738471601248474,0.7727272698455419,0.6976568836671125,0.02340234179188602,9,14,0.7378157805709176,0.000655820677556429,0.08888677835664599
Bipartite,4,2,1,XX_Mixer,0.7393716989523423,0.7727272668554275,0.6976568137165573,0.022557974308451655,9,14,0.7378157805709176,0.0015559183814247701,0.21088168922340067
Bipartite,4,2,1,XX+YY_Mixer,0.7896712803250816,0.8409090702579889,0.7230939108560028,0.037957495756246545,9,14,0.7378157805709176,0.051855499754164036,7.028244870831923
Bipartite,4,1,1,XX_Mixer,0.7538411668280556,0.9090908522542172,0.7068965273095287,0.05172285596259204,9,14,0.7378157805709176,0.016025386257138008,2.1720037276429163
Bipartite,4,1,1,XX+YY_Mixer,0.9767440852312047,0.9999999345466438,0.9384102657925298,0.025066864876648463,9,14,0.7378157805709176,0.23892830466028714,32.38319251933129
Bipartite,4,4,2,Standard_QAOA,0.9439098736705593,0.9999999861661734,0.8799988957466249,0.046812274692092995,9,14,0.9439098736705593,0.0,0.0
Bipartite,4,3,2,XX_Mixer,0.9439096979743155,0.9999999638722704,0.8799992163385008,0.04681234978187646,9,14,0.9439098736705593,-1.7569624388702465e-07,-1.8613667341331957e-05
Bipartite,4,3,2,XX+YY_Mixer,0.9866932884406455,0.9999999862677672,0.911767297114728,0.030422905522455634,9,14,0.9439098736705593,0.04278341477008618,4.53257413270987
Bipartite,4,2,2,XX_Mixer,0.9424814133734173,0.9999999845651872,0.8600000992856707,0.04915889799200674,9,14,0.9439098736705593,-0.0014284602971420535,-0.15133439505058197
Bipartite,4,2,2,XX+YY_Mixer,0.9936970282627826,0.9999999679966,0.9117645387841764,0.023581792654124266,9,14,0.9439098736705593,0.04978715459222327,5.274566564137864
